relative_path,name,bytes,matched_reference_norm
COLEÇÃO - 2021\092-0-CB33.jpg,092-0-CB33.jpg,90511,0920
COLEÇÃO - 2021\092-0-CB38.jpg,092-0-CB38.jpg,114057,0920
COLEÇÃO - 2021\092-0-CB39.jpg,092-0-CB39.jpg,98487,0920
COLEÇÃO - 2021\092-0-CB40.jpg,092-0-CB40.jpg,169470,0920
COLEÇÃO - 2021\092-0-CB41.jpg,092-0-CB41.jpg,74857,0920
COLEÇÃO - 2021\160-1-CB11.JPG,160-1-CB11.JPG,66081,1601
COLEÇÃO - 2021\160-1-CB12.jpg,160-1-CB12.jpg,84183,1601
COLEÇÃO - 2021\160-1-CB12_A.jpg,160-1-CB12_A.jpg,317993,1601
COLEÇÃO - 2021\160-1-CB12_B.jpg,160-1-CB12_B.jpg,284975,1601
COLEÇÃO - 2021\160-1-CB12_C.jpg,160-1-CB12_C.jpg,273820,1601
COLEÇÃO - 2021\160-1-CB12_D.jpg,160-1-CB12_D.jpg,152753,1601
COLEÇÃO - 2021\160-1-CB12_E.jpg,160-1-CB12_E.jpg,137148,1601
COLEÇÃO - 2021\160-1-CB13.jpg,160-1-CB13.jpg,110483,1601
COLEÇÃO - 2021\160-1-CB20.jpg,160-1-CB20.jpg,131039,1601
COLEÇÃO - 2021\160-1-CB21.jpg,160-1-CB21.jpg,138423,1601
COLEÇÃO - 2021\2136-CB12.jpg,2136-CB12.jpg,51701,2136
COLEÇÃO - 2021\2136-CB12_A.jpg,2136-CB12_A.jpg,124522,2136
COLEÇÃO - 2021\2136-CB12_B.jpg,2136-CB12_B.jpg,52291,2136
COLEÇÃO - 2021\2136-CB12_C.jpg,2136-CB12_C.jpg,139652,2136
COLEÇÃO - 2021\2136-CB12_D.jpg,2136-CB12_D.jpg,141880,2136
COLEÇÃO - 2021\2136-CB12_E.jpg,2136-CB12_E.jpg,141761,2136
COLEÇÃO - 2021\2136-CB19.jpg,2136-CB19.jpg,63803,2136
COLEÇÃO - 2021\2136-CB34.jpg,2136-CB34.jpg,53655,2136
COLEÇÃO - 2021\2136-CB40.jpg,2136-CB40.jpg,66234,2136
COLEÇÃO - 2021\2136-CB42.jpg,2136-CB42.jpg,52443,2136
COLEÇÃO - 2021\2136-CB42_A.JPG,2136-CB42_A.JPG,92008,2136
COLEÇÃO - 2021\2136-CB42_B.JPG,2136-CB42_B.JPG,105825,2136
COLEÇÃO - 2021\2136-CB42_C.JPG,2136-CB42_C.JPG,112455,2136
COLEÇÃO - 2021\2136-CB42_D.JPG,2136-CB42_D.JPG,121346,2136
COLEÇÃO - 2021\2136-CB49.jpg,2136-CB49.jpg,47833,2136
COLEÇÃO - 2021\2136-CB54.jpg,2136-CB54.jpg,63192,2136
COLEÇÃO - 2021\2136-CB55.jpg,2136-CB55.jpg,45404,2136
COLEÇÃO - 2021\2136-CB56.jpg,2136-CB56.jpg,50828,2136
COLEÇÃO - 2021\2136-CB57.jpg,2136-CB57.jpg,53761,2136
COLEÇÃO - 2021\2136-CB58.jpg,2136-CB58.jpg,61552,2136
COLEÇÃO - 2021\2136-CB59.jpg,2136-CB59.jpg,77336,2136
COLEÇÃO - 2021\2136-CB60.jpg,2136-CB60.jpg,74828,2136
COLEÇÃO - 2021\2136-CB61.jpg,2136-CB61.jpg,76383,2136
COLEÇÃO - 2021\2136-CB62.jpg,2136-CB62.jpg,73505,2136
COLEÇÃO - 2021\2136-CB62_A.jpg,2136-CB62_A.jpg,101854,2136
COLEÇÃO - 2021\2136-CB62_B.jpg,2136-CB62_B.jpg,132198,2136
COLEÇÃO - 2021\2136-CB62_C.jpg,2136-CB62_C.jpg,125689,2136
COLEÇÃO - 2021\2136-CB62_D.jpg,2136-CB62_D.jpg,114420,2136
COLEÇÃO - 2021\2136-CB62_E.jpg,2136-CB62_E.jpg,68436,2136
COLEÇÃO - 2021\2136-CB63.jpg,2136-CB63.jpg,64745,2136
COLEÇÃO - 2021\2136-CB64.jpg,2136-CB64.jpg,77729,2136
COLEÇÃO - 2021\2136_CB42_E.JPG,2136_CB42_E.JPG,123400,2136
COLEÇÃO - 2021\2150-CB08.jpg,2150-CB08.jpg,100332,2150
COLEÇÃO - 2021\2150-CB08_A.jpg,2150-CB08_A.jpg,123946,2150
COLEÇÃO - 2021\2150-CB08_B.jpg,2150-CB08_B.jpg,73139,2150
COLEÇÃO - 2021\2150-CB08_C.jpg,2150-CB08_C.jpg,80629,2150
COLEÇÃO - 2021\2150-CB08_D.jpg,2150-CB08_D.jpg,162619,2150
COLEÇÃO - 2021\2150-CB08_E.jpg,2150-CB08_E.jpg,123764,2150
COLEÇÃO - 2021\2150-CB20.jpg,2150-CB20.jpg,103183,2150
COLEÇÃO - 2021\2150-CB28.jpg,2150-CB28.jpg,44944,2150
COLEÇÃO - 2021\2150-CB35.jpg,2150-CB35.jpg,91845,2150
COLEÇÃO - 2021\2150-CB35_A.jpg,2150-CB35_A.jpg,99744,2150
COLEÇÃO - 2021\2150-CB35_B.jpg,2150-CB35_B.jpg,158940,2150
COLEÇÃO - 2021\2150-CB35_C.jpg,2150-CB35_C.jpg,76226,2150
COLEÇÃO - 2021\2150-CB35_D.jpg,2150-CB35_D.jpg,108215,2150
COLEÇÃO - 2021\2150-CB36.jpg,2150-CB36.jpg,49583,2150
COLEÇÃO - 2021\2150-CB40.JPG,2150-CB40.JPG,45840,2150
COLEÇÃO - 2021\2150-CB43.jpg,2150-CB43.jpg,101191,2150
COLEÇÃO - 2021\2150-CB45.jpg,2150-CB45.jpg,89023,2150
COLEÇÃO - 2021\2150-CB48.jpg,2150-CB48.jpg,49348,2150
COLEÇÃO - 2021\2150-CB48_A.jpg,2150-CB48_A.jpg,128064,2150
COLEÇÃO - 2021\2150-CB48_B.jpg,2150-CB48_B.jpg,140270,2150
COLEÇÃO - 2021\2150-CB48_C.jpg,2150-CB48_C.jpg,110813,2150
COLEÇÃO - 2021\2150-CB48_D.jpg,2150-CB48_D.jpg,98567,2150
COLEÇÃO - 2021\2150-CB48_E.jpg,2150-CB48_E.jpg,155473,2150
COLEÇÃO - 2021\2150-CB49.jpg,2150-CB49.jpg,70006,2150
COLEÇÃO - 2021\2150-CB50.jpg,2150-CB50.jpg,42016,2150
COLEÇÃO - 2021\2150-CB51.jpg,2150-CB51.jpg,79858,2150
COLEÇÃO - 2021\2150-CB52.jpg,2150-CB52.jpg,64962,2150
COLEÇÃO - 2021\2150-CB53.jpg,2150-CB53.jpg,76049,2150
COLEÇÃO - 2021\2150-CB54.jpg,2150-CB54.jpg,82574,2150
COLEÇÃO - 2021\2150-CB54_A.jpg,2150-CB54_A.jpg,92441,2150
COLEÇÃO - 2021\2150-CB54_B.jpg,2150-CB54_B.jpg,124919,2150
